date,base_actual,peak_actual,offpeak_actual,n_hours,n_peak_hours,qa_flag_missing_hours,base_actual_test,peak_actual_test,offpeak_actual_test,base_seasonalnaive_d1,peak_seasonalnaive_d1,offpeak_seasonalnaive_d1,base_seasonalnaive_d7,peak_seasonalnaive_d7,offpeak_seasonalnaive_d7,base_elasticnet,peak_elasticnet,offpeak_elasticnet,base_lightgbm,peak_lightgbm,offpeak_lightgbm,spread_base_seasonalnaive_d1,spread_peak_seasonalnaive_d1,spread_base_seasonalnaive_d7,spread_peak_seasonalnaive_d7,spread_base_elasticnet,spread_peak_elasticnet,spread_base_lightgbm,spread_peak_lightgbm,proxy_base,proxy_peak,proxy_offpeak,spread_base,spread_pct_base,spread_peak,spread_pct_peak,spread_offpeak,spread_pct_offpeak,signal,conviction,action,pnl_daily,pnl_cumulative,pnl_rolling_7d,is_loss,consec_losses
2025-07-07,99.97333333333334,89.32166666666666,110.625,24,12,False,99.97333333333334,89.32166666666666,110.625,73.49041666666666,50.854166666666664,96.12666666666668,102.42375,74.06333333333333,130.78416666666666,100.53336266934453,92.6699681230356,108.39675721565344,102.06365358340996,95.4491850861478,108.6781220806721,-26.48291666666668,-38.467499999999994,2.450416666666655,-15.258333333333326,0.5600293360111692,3.3483014563689295,2.0903202500766156,6.1275184194811345,91.15732142857142,62.03857142857142,120.27607142857143,10.906332154838537,11.964296431619553,33.410613657576384,53.85458254151443,-11.59794934789933,-9.642773670727204,1,Strong,BUY,8.816011904761922,12471.400334679081,21.90409863945579,False,0
2025-07-08,90.0125,77.14999999999999,102.875,24,12,False,90.0125,77.14999999999999,102.875,99.97333333333334,89.32166666666666,110.625,138.36458333333334,102.89583333333331,173.83333333333334,86.61932632846458,73.96853255511462,99.27012010181454,92.32909865436898,83.25671526036611,101.40148204837186,9.96083333333334,12.171666666666669,48.35208333333334,25.745833333333337,-3.393173671535422,-3.181467444885371,2.316598654368974,6.106715260366116,90.80726190476192,64.21833333333333,117.39619047619048,1.5218367496070613,1.675897629424345,19.038381927032773,29.64633452601714,-15.994708427818622,-13.624554905009939,0,Weak,HOLD,-0.0,12471.400334679081,12.525017006802727,False,0
2025-07-09,91.79833333333332,78.4175,105.17916666666667,24,12,False,91.79833333333332,78.4175,105.17916666666667,90.0125,77.14999999999999,102.875,103.885,83.65083333333332,124.11916666666669,89.03231046391306,73.55081766865798,104.51380325916814,92.75873857231728,81.55893220038736,103.9585449442472,-1.7858333333333292,-1.2675000000000125,12.08666666666666,5.23333333333332,-2.7660228694202686,-4.8666823313420196,0.960405238983938,3.1414322003873565,83.89982142857143,60.54035714285714,107.25928571428572,8.858917143745856,10.558922525583615,21.01857505753022,34.718287188053196,-3.30074077003853,-3.0773473345990303,1,Moderate,BUY,7.8985119047618895,12479.298846583843,11.060059523809526,False,0
2025-07-10,90.41333333333334,75.03,105.79666666666668,24,12,False,90.41333333333334,75.03,105.79666666666668,91.79833333333332,78.4175,105.17916666666667,86.46583333333332,67.36416666666666,105.5675,91.52055459537854,72.16577000412408,110.87533918663298,91.66579500783496,77.22701622040746,106.10457379526248,1.384999999999991,3.387500000000003,-3.9475000000000193,-7.665833333333339,1.1072212620452009,-2.8642299958759168,1.2524616745016175,2.1970162204074626,82.17315476190477,59.7927380952381,104.55357142857143,9.49264024593019,11.551996845484323,17.434278125169364,29.157852074611434,1.5510023666910513,1.483452306314242,1,Moderate,BUY,8.240178571428572,12487.53902515527,11.857678571428576,False,0
2025-07-11,87.88291666666667,71.81,103.95583333333332,24,12,False,87.88291666666667,71.81,103.95583333333332,90.41333333333334,75.03,105.79666666666668,79.615,43.9475,115.2825,80.89122179671875,65.33771989107711,96.4447237023604,84.37023368506132,72.50719767734314,96.2332696927795,2.530416666666667,3.219999999999999,-8.267916666666679,-27.862500000000004,-6.991694869947921,-6.472280108922888,-3.5126829816053515,0.6971976773431408,82.73708333333333,60.887857142857136,104.58630952380952,1.6331503517279913,1.9739037030690485,11.619340534486007,19.08318190148213,-8.353039831030017,-7.98674307283824,0,Weak,HOLD,0.0,12487.53902515527,10.599413265306124,False,0
2025-07-12,72.25625000000001,39.52583333333333,104.98666666666666,24,12,False,72.25625000000001,39.52583333333333,104.98666666666666,87.88291666666667,71.81,103.95583333333332,53.85666666666666,11.494166666666668,96.21916666666668,68.52685804981948,41.4708107494124,95.58290535022655,63.199602115802115,34.00212138617257,92.39708284543164,15.626666666666663,32.28416666666667,-18.399583333333347,-28.031666666666663,-3.729391950180528,1.9449774160790696,-9.056647884197892,-5.523711947160763,83.91821428571428,64.86821428571429,102.9682142857143,-20.71861216991217,-24.689052723848505,-30.86609289954172,-47.5827695265218,-10.571131440282656,-10.266402611343803,-1,Strong,SELL,11.661964285714276,12499.200989440986,7.359464285714286,False,0
2025-07-13,73.49083333333333,36.666666666666664,110.315,24,12,False,73.49083333333333,36.666666666666664,110.315,72.25625000000001,39.52583333333333,104.98666666666666,73.49041666666666,50.854166666666664,96.12666666666668,76.33433792174209,43.587581688225754,109.08109415525844,69.011007410503,36.75427673178995,101.26773808921604,-1.234583333333319,2.859166666666667,-0.0004166666666662,14.1875,2.843504588408763,6.9209150215590896,-4.479825922830329,0.087610065123286,86.54672619047619,68.87273809523809,104.22071428571428,-17.535718779973195,-20.261562224063496,-32.11846136344814,-46.63450626724659,-2.9529761964982413,-2.8333870255416307,-1,Strong,SELL,13.055892857142865,12512.256882298128,7.096079931972789,False,0
2025-07-14,98.47166666666668,81.79916666666666,115.14416666666666,24,12,False,98.47166666666668,81.79916666666666,115.14416666666666,73.49083333333333,36.666666666666664,110.315,99.97333333333334,89.32166666666666,110.625,101.29366081776256,86.31809971882063,116.2692219167045,96.9657511423438,83.33262674445007,110.59887554023751,-24.98083333333335,-45.1325,1.5016666666666652,7.522499999999994,2.821994151095879,4.518933052153969,-1.5059155243228872,1.5334600777834029,86.54678571428572,66.84595238095238,106.24761904761905,10.418965428058087,12.038535391081885,16.486674363497684,24.66368385260007,4.351256492618461,4.095392001837024,1,Strong,BUY,11.92488095238096,12524.18176325051,7.540204081632652,False,0
2025-07-15,90.82458333333334,74.09416666666667,107.555,24,12,False,90.82458333333334,74.09416666666667,107.555,98.47166666666668,81.79916666666666,115.14416666666666,90.0125,77.14999999999999,102.875,88.54232068486861,70.2055503933877,106.87909097634952,87.10734745050136,73.31689481851676,100.897800082486,7.647083333333342,7.704999999999998,-0.8120833333333337,3.055833333333325,-2.282262648464723,-3.88861627327897,-3.717235882831971,-0.7772718481499084,86.3322619047619,65.77130952380953,106.89321428571428,0.7750855457394579,0.8977936273631976,7.545585294707223,11.472457138740234,-5.995414203228279,-5.608788399985025,0,Weak,HOLD,0.0,12524.18176325051,7.540204081632652,False,0
2025-07-16,95.75041666666668,88.6025,102.89833333333333,24,12,False,95.75041666666668,88.6025,102.89833333333333,90.82458333333334,74.09416666666667,107.555,91.79833333333332,78.4175,105.17916666666667,93.07731059861128,85.03431110401603,101.12031009320656,93.15177907128869,87.1577878611039,99.14577028147346,-4.925833333333344,-14.50833333333334,-3.952083333333349,-10.185000000000002,-2.6731060680553895,-3.5681888959839796,-2.5986375953780083,-1.444712138896108,86.44827380952381,65.3347619047619,107.56178571428572,6.7035052617648745,7.754354096803683,21.823025956341993,33.401860388124305,-8.416015432812259,-7.824354511152834,1,Moderate,BUY,9.302142857142869,12533.483906107653,7.740722789115649,False,0
