date,base_actual,peak_actual,offpeak_actual,n_hours,n_peak_hours,qa_flag_missing_hours,base_actual_test,peak_actual_test,offpeak_actual_test,base_seasonalnaive_d1,peak_seasonalnaive_d1,offpeak_seasonalnaive_d1,base_seasonalnaive_d7,peak_seasonalnaive_d7,offpeak_seasonalnaive_d7,base_elasticnet,peak_elasticnet,offpeak_elasticnet,base_lightgbm,peak_lightgbm,offpeak_lightgbm,spread_base_seasonalnaive_d1,spread_peak_seasonalnaive_d1,spread_base_seasonalnaive_d7,spread_peak_seasonalnaive_d7,spread_base_elasticnet,spread_peak_elasticnet,spread_base_lightgbm,spread_peak_lightgbm
2018-12-02,30.199166666666667,34.3575,26.040833333333335,24,12,False,,,,,,,,,,,,,,,,,,,,,,,
2018-12-03,44.61666666666667,53.85833333333333,35.375,24,12,False,,,,,,,,,,,,,,,,,,,,,,,
2018-12-04,50.64875,57.17333333333334,44.12416666666667,24,12,False,,,,,,,,,,,,,,,,,,,,,,,
2018-12-05,59.21083333333333,67.99833333333333,50.42333333333334,24,12,False,,,,,,,,,,,,,,,,,,,,,,,
2018-12-06,54.747083333333336,62.87166666666667,46.6225,24,12,False,,,,,,,,,,,,,,,,,,,,,,,
2018-12-07,42.57791666666667,50.73666666666667,34.41916666666666,24,12,False,,,,,,,,,,,,,,,,,,,,,,,
2018-12-08,11.865416666666667,17.811666666666667,5.9191666666666665,24,12,False,,,,,,,,,,,,,,,,,,,,,,,
2018-12-09,8.917083333333332,18.643333333333334,-0.8091666666666669,24,12,False,,,,,,,,,,,,,,,,,,,,,,,
2018-12-10,36.16125,47.69833333333333,24.624166666666667,24,12,False,,,,,,,,,,,,,,,,,,,,,,,
2018-12-11,55.370000000000005,65.3575,45.3825,24,12,False,,,,,,,,,,,,,,,,,,,,,,,
2018-12-12,69.91416666666667,82.87583333333333,56.95249999999999,24,12,False,,,,,,,,,,,,,,,,,,,,,,,
2018-12-13,66.24291666666666,77.13916666666667,55.346666666666664,24,12,False,,,,,,,,,,,,,,,,,,,,,,,
2018-12-14,71.15916666666666,84.985,57.333333333333336,24,12,False,,,,,,,,,,,,,,,,,,,,,,,
2018-12-15,54.406666666666666,58.92583333333334,49.887499999999996,24,12,False,,,,,,,,,,,,,,,,,,,,,,,
2018-12-16,49.70916666666667,55.48083333333333,43.9375,24,12,False,,,,,,,,,,,,,,,,,,,,,,,
2018-12-17,69.39083333333333,80.56583333333333,58.215833333333336,24,12,False,,,,,,,,,,,,,,,,,,,,,,,
2018-12-18,59.445,66.6375,52.2525,24,12,False,,,,,,,,,,,,,,,,,,,,,,,
2018-12-19,56.44166666666666,66.51,46.373333333333335,24,12,False,,,,,,,,,,,,,,,,,,,,,,,
2018-12-20,56.68875,63.35333333333333,50.024166666666666,24,12,False,,,,,,,,,,,,,,,,,,,,,,,
2018-12-21,49.62416666666667,56.08416666666667,43.16416666666667,24,12,False,,,,,,,,,,,,,,,,,,,,,,,
2018-12-22,36.62083333333333,52.67583333333334,20.565833333333334,24,12,False,,,,,,,,,,,,,,,,,,,,,,,
2018-12-23,42.6675,50.0025,35.3325,24,12,False,,,,,,,,,,,,,,,,,,,,,,,
2018-12-24,46.83083333333334,52.57833333333334,41.083333333333336,24,12,False,,,,,,,,,,,,,,,,,,,,,,,
2018-12-25,19.0075,23.173333333333332,14.841666666666667,24,12,False,,,,,,,,,,,,,,,,,,,,,,,
2018-12-26,47.4025,56.72666666666667,38.07833333333333,24,12,False,,,,,,,,,,,,,,,,,,,,,,,
2018-12-27,60.01499999999999,66.2475,53.7825,24,12,False,,,,,,,,,,,,,,,,,,,,,,,
2018-12-28,59.79666666666666,66.15916666666666,53.43416666666667,24,12,False,,,,,,,,,,,,,,,,,,,,,,,
2018-12-29,47.336666666666666,54.59166666666667,40.08166666666667,24,12,False,,,,,,,,,,,,,,,,,,,,,,,
2018-12-30,33.53333333333333,50.03916666666667,17.0275,24,12,False,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,54.685833333333335,62.32833333333334,47.04333333333333,24,12,False,,,,,,,,,,,,,,,,,,,,,,,
2019-01-01,-4.297083333333333,-0.7949999999999999,-7.799166666666667,24,12,False,,,,,,,,,,,,,,,,,,,,,,,
2019-01-02,25.9175,51.39083333333334,0.44416666666666654,24,12,False,,,,,,,,,,,,,,,,,,,,,,,
2019-01-03,57.71625,64.99916666666667,50.43333333333334,24,12,False,,,,,,,,,,,,,,,,,,,,,,,
2019-01-04,49.91,53.31583333333333,46.50416666666666,24,12,False,,,,,,,,,,,,,,,,,,,,,,,
2019-01-05,42.18083333333333,51.300000000000004,33.06166666666667,24,12,False,,,,,,,,,,,,,,,,,,,,,,,
2019-01-06,54.54541666666666,57.69166666666666,51.399166666666666,24,12,False,,,,,,,,,,,,,,,,,,,,,,,
2019-01-07,51.8125,61.81666666666667,41.80833333333333,24,12,False,,,,,,,,,,,,,,,,,,,,,,,
2019-01-08,34.49666666666666,43.531666666666666,25.46166666666667,24,12,False,,,,,,,,,,,,,,,,,,,,,,,
2019-01-09,40.00125,49.79666666666666,30.205833333333334,24,12,False,,,,,,,,,,,,,,,,,,,,,,,
2019-01-10,67.67208333333333,79.20833333333333,56.13583333333333,24,12,False,,,,,,,,,,,,,,,,,,,,,,,
2019-01-11,49.91833333333333,52.48083333333333,47.35583333333333,24,12,False,,,,,,,,,,,,,,,,,,,,,,,
2019-01-12,40.80166666666667,41.12833333333334,40.475,24,12,False,,,,,,,,,,,,,,,,,,,,,,,
2019-01-13,15.100833333333334,16.878333333333334,13.323333333333332,24,12,False,,,,,,,,,,,,,,,,,,,,,,,
2019-01-14,32.61083333333333,47.30833333333334,17.91333333333333,24,12,False,,,,,,,,,,,,,,,,,,,,,,,
2019-01-15,45.447916666666664,52.7425,38.15333333333333,24,12,False,,,,,,,,,,,,,,,,,,,,,,,
2019-01-16,45.19875,53.72833333333333,36.66916666666666,24,12,False,,,,,,,,,,,,,,,,,,,,,,,
2019-01-17,42.836666666666666,51.598333333333336,34.074999999999996,24,12,False,,,,,,,,,,,,,,,,,,,,,,,
2019-01-18,61.732499999999995,71.09416666666667,52.37083333333334,24,12,False,,,,,,,,,,,,,,,,,,,,,,,
2019-01-19,55.38833333333333,58.895833333333336,51.88083333333333,24,12,False,,,,,,,,,,,,,,,,,,,,,,,
2019-01-20,53.89166666666667,55.95916666666667,51.82416666666666,24,12,False,,,,,,,,,,,,,,,,,,,,,,,
2019-01-21,69.90041666666667,79.80833333333334,59.9925,24,12,False,,,,,,,,,,,,,,,,,,,,,,,
2019-01-22,62.99875,69.49833333333333,56.49916666666667,24,12,False,,,,,,,,,,,,,,,,,,,,,,,
2019-01-23,75.08333333333333,88.87333333333333,61.29333333333333,24,12,False,,,,,,,,,,,,,,,,,,,,,,,
2019-01-24,85.79583333333333,102.73833333333333,68.85333333333334,24,12,False,,,,,,,,,,,,,,,,,,,,,,,
2019-01-25,66.50208333333333,74.645,58.35916666666666,24,12,False,,,,,,,,,,,,,,,,,,,,,,,
2019-01-26,49.08625,55.48499999999999,42.6875,24,12,False,,,,,,,,,,,,,,,,,,,,,,,
